bdrId,kpi,value,day,anomalie,last_update_in_visits,last_update_in_tasking
99834325,gps,88.24,2022-12-16,0,20:00,18:14
99833990,gps,100.0,2022-12-16,0,18:52,18:54
99838070,gps,36.84,2022-12-16,1,15:56,15:56
99836952,gps,86.36,2022-12-16,0,20:10,18:42
99811277,gps,92.86,2022-12-16,0,18:45,18:46
99834843,gps,100.0,2022-12-16,0,19:19,
99814621,gps,70.0,2022-12-16,1,19:58,19:04
99794727,gps,100.0,2022-12-16,0,19:23,19:00
99735135,gps,80.0,2022-12-16,1,16:45,16:45
99745895,gps,94.44,2022-12-16,0,19:01,19:01
99716667,gps,90.63,2022-12-16,0,19:48,18:42
99789710,gps,95.0,2022-12-16,0,18:50,18:50
99835411,gps,100.0,2022-12-16,0,15:12,15:12
99736026,gps,100.0,2022-12-16,0,15:59,15:59
99817007,gps,76.0,2022-12-16,1,19:22,18:51
99733950,gps,100.0,2022-12-16,0,19:02,18:41
99732940,gps,100.0,2022-12-16,0,17:46,17:46
99805115,gps,94.12,2022-12-16,0,18:42,18:42
99733948,gps,100.0,2022-12-16,0,18:13,18:13
99820905,gps,100.0,2022-12-16,0,19:43,18:41
99732934,gps,100.0,2022-12-16,0,19:20,18:12
99833989,gps,82.76,2022-12-16,0,20:01,18:59
99802249,gps,91.3,2022-12-16,0,19:14,18:17
99746730,gps,86.96,2022-12-16,0,19:26,19:03
99745015,gps,92.31,2022-12-16,0,19:35,19:02
99821489,gps,95.24,2022-12-16,0,19:44,18:59
99738769,gps,92.5,2022-12-16,0,19:20,18:48
99813123,gps,97.62,2022-12-16,0,19:55,18:59
99738589,gps,97.22,2022-12-16,0,19:05,17:57
99776231,gps,100.0,2022-12-16,0,19:05,18:54
99834325,prop_+2min,100.0,2022-12-16,0,20:00,18:14
99833990,prop_+2min,100.0,2022-12-16,0,18:52,18:54
99838070,prop_+2min,85.71,2022-12-16,0,15:56,15:56
99836952,prop_+2min,94.74,2022-12-16,0,20:10,18:42
99811277,prop_+2min,96.15,2022-12-16,0,18:45,18:46
99834843,prop_+2min,100.0,2022-12-16,0,19:19,
99814621,prop_+2min,38.1,2022-12-16,1,19:58,19:04
99794727,prop_+2min,86.36,2022-12-16,0,19:23,19:00
99735135,prop_+2min,100.0,2022-12-16,0,16:45,16:45
99745895,prop_+2min,94.12,2022-12-16,0,19:01,19:01
99716667,prop_+2min,65.52,2022-12-16,0,19:48,18:42
99789710,prop_+2min,94.74,2022-12-16,0,18:50,18:50
99835411,prop_+2min,93.75,2022-12-16,0,15:12,15:12
99736026,prop_+2min,100.0,2022-12-16,0,15:59,15:59
99817007,prop_+2min,94.74,2022-12-16,0,19:22,18:51
